accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,config,n_features
0.9985,0.9978,0.9975,0.9978,0.9976,0.9999,0.9997,cicids2017,No FS,77
0.9978,0.9963,0.9966,0.9963,0.9964,0.9999,0.9997,cicids2017,MI only (top 30),30
0.9968,0.9946,0.9953,0.9946,0.995,0.9997,0.9986,cicids2017,RF only (top 15),15
0.9961,0.9942,0.9936,0.9942,0.9939,0.9997,0.9984,cicids2017,Hybrid MI→RF (15),15
0.998,0.9969,0.9975,0.9969,0.9972,0.9999,0.9999,ton_iot,No FS,36
0.9979,0.9968,0.9975,0.9968,0.9971,0.9999,0.9999,ton_iot,MI only (top 30),30
0.9966,0.9944,0.9963,0.9944,0.9953,0.9997,0.9999,ton_iot,RF only (top 15),15
0.9972,0.9955,0.9968,0.9955,0.9962,0.9998,0.9999,ton_iot,Hybrid MI→RF (15),15
0.9921,0.9826,0.9818,0.9826,0.9822,0.9997,0.9978,unsw_nb15,No FS,39
0.9923,0.9833,0.9822,0.9833,0.9827,0.9997,0.9977,unsw_nb15,MI only (top 30),30
0.992,0.9825,0.9816,0.9825,0.982,0.9996,0.9975,unsw_nb15,RF only (top 15),15
0.9924,0.9837,0.982,0.9837,0.9828,0.9996,0.9976,unsw_nb15,Hybrid MI→RF (15),15
