dataset,class_id,class_name,samples,f1_mean,f1_std
cicids2017,0,BENIGN,1606007,0.9994092529561625,2.2514421886640164e-05
cicids2017,1,Bot,1388,0.811783347676468,0.01997969952337791
cicids2017,2,DDoS,90463,0.9998397073920128,6.630971428026565e-05
cicids2017,3,DoS GoldenEye,7303,0.9966458605297243,0.0015183403585150687
cicids2017,4,DoS Hulk,163153,0.998768827830572,0.00015476750144975522
cicids2017,5,DoS Slowhttptest,3914,0.9690706306033221,0.005577445638230546
cicids2017,6,DoS slowloris,4082,0.9943622786331854,0.0016563963990772475
cicids2017,7,FTP-Patator,5618,0.9983963564541114,0.0006047667505565652
cicids2017,8,Heartbleed,7,0.8,0.4
cicids2017,9,Infiltration,24,0.672063492063492,0.16929700659618532
cicids2017,10,PortScan,112350,0.9967076165707407,0.00029110868976764447
cicids2017,11,SSH-Patator,4139,0.9984265148120732,0.0006184658806424647
cicids2017,12,Web Attack � Brute Force,1061,0.7792745954460287,0.01616069673185678
cicids2017,13,Web Attack � Sql Injection,15,0.6199999999999999,0.3487119154832539
cicids2017,14,Web Attack � XSS,476,0.3557451393281664,0.0315312439847956
ton_iot,0,backdoor,20000,0.7780018625817571,0.008031416684334979
ton_iot,1,ddos,20000,0.9807219235850034,0.0016884765898327939
ton_iot,2,dos,20000,0.7177685201257119,0.010515015185295915
ton_iot,3,injection,20000,0.9738394405596088,0.0012702170175165665
ton_iot,4,mitm,1043,0.7719493591220667,0.008195955364220617
ton_iot,5,normal,50000,0.9954696891028764,0.00025161249479222446
ton_iot,6,password,20000,0.8591165510594921,0.004111979106521125
ton_iot,7,ransomware,20000,0.9139075705272747,0.0022561390846235845
ton_iot,8,scanning,20000,0.8893977447447924,0.0044617984432634775
ton_iot,9,xss,20000,0.9108188145069374,0.00298030073336971
unsw_nb15,0,Analysis,2115,0.1033369939395373,0.027926538812194656
unsw_nb15,1,Backdoor,1394,0.15219188091256905,0.027829599373118522
unsw_nb15,2,Backdoors,421,0.018960834136510996,0.024431677451626548
unsw_nb15,3,DoS,12847,0.20122663521442571,0.005458874714929018
unsw_nb15,4,Exploits,35091,0.7250032463538949,0.0010092152864410442
unsw_nb15,5,Fuzzers,19072,0.5779332336134859,0.004661924854649764
unsw_nb15,6,Generic,169624,0.9908912091645444,0.00025257804357680215
unsw_nb15,7,Normal,1747026,0.9963109643198621,6.096708421868728e-05
unsw_nb15,8,Reconnaissance,11085,0.8355430959276688,0.007461873158389554
unsw_nb15,9,Shellcode,1187,0.6354508148277243,0.028824303707894686
unsw_nb15,10,Worms,138,0.5305610296491755,0.08210181289364997
